,Title,Address,Latitude,Longitude,City,State,Country,Postal Code,Message,Categories,images,website,phone,email,Click Action,Redirect URL,,
,Intrepid Air & Space Museum,"Intrepid Sea, Air & Space Museum, West 46th Street, New York, NY, United States",40.7645266,-73.9996076,New York,New York,United States,10036,"The Intrepid Sea, Air & Space Museum is an American military and maritime history museum with a collection of museum ships in New York City. ",Museums,"<img src=""https://res.cloudinary.com/flippercode/image/upload/v1525262692/google-maps-examples/Intrepid_Museum_bg2jgmg.jpg"">","https://en.wikipedia.org/wiki/Intrepid_Sea,_Air_%26_Space_Museum",,,marker,,,yes
,Santa Monica State Beach,"Santa Monica State Beach, Santa Monica, CA, United States",34.0129033,-118.5017237,,California,United States,90005,Santa Monica State Beach is a California State Park operated by the city of Santa Monica.,Beaches,"<img src=""https://wpmapspro.com/wp-content/uploads/2017/01/Santa_Monica_Beach.jpg"">",https://en.wikipedia.org/wiki/Santa_Monica_State_Beach,,,marker,,,yes
,Malibu Surfrider Beach,"Malibu Surfrider Beach, Pacific Coast Highway, Malibu, CA, United States",34.036265,-118.6779497,Malibu,California,United States,90265,"Malibu is a beach city in Los Angeles County, California, situated 30 miles (48 km) west of Downtown Los Angeles. Known for its Mediterranean climate, a 21-mile (34 km) strip of the Malibu coast incorporated in 1991 into the City of Malibu.",Beaches,"<img src=""https://wpmapspro.com/wp-content/uploads/2017/01/malibu-beach.jpg"">","https://en.wikipedia.org/wiki/Malibu,_California",,,marker,,,yes
,Golden Gate Bridge,"Golden Gate Bridge, San Francisco, CA, United States",37.8199286,-122.4782551,San Francisco,California,United States,,"The Golden Gate Bridge is a suspension bridge spanning the Golden Gate strait, the one-mile-wide, three-mile-long channel between San Francisco Bay and the Pacific Ocean.",Monuments,"<img src=""https://wpmapspro.com/wp-content/uploads/2017/01/GoldenGateBridge-001.jpg"">",https://en.wikipedia.org/wiki/Golden_Gate_Bridge,,,marker,,,yes
,AT&T Park,"AT&T Park, Willie Mays Plaza, San Francisco, CA, United States",37.7785951,-122.3892698,San Francisco,California,United States,94107,"AT&T Park is a baseball park located in the South Beach neighborhood of San Francisco, California. Since 2000, it has served as the home of the San Francisco Giants, the city's Major League Baseball franchise.",Monuments,"<img src=""https://res.cloudinary.com/flippercode/image/upload/v1525260964/google-maps-examples/ATT_Sunset.jpg"">",https://en.wikipedia.org/wiki/AT%26T_Park,,,marker,,https://wpgmp.flippercode.com/dev/wp-content/uploads/sites/109/2017/12/ariel-lustre-242324-300x200.jpg,yes
,Art institute of Chicago,"Art Institute of Chicago, South Michigan Avenue, Chicago, IL, United States",41.8795845,-87.6237133,Chicago,Illinois,United States,60603,"The Art Institute of Chicago, founded in 1879 and located in Chicago's Grant Park, is one of the oldest and largest art museums in the United States.  The museum hosts approximately 1.5 million guests annually.",Museums,"<img src=""https://res.cloudinary.com/flippercode/image/upload/v1525260096/google-maps-examples/Art_Institute_of_Chicago_Li.jpg"">",https://en.wikipedia.org/wiki/Art_Institute_of_Chicago,,,marker,,https://wpgmp.flippercode.com/dev/wp-content/uploads/sites/109/2017/12/adrian-sava-184734-300x200.jpg,yes
,"Jungle island, Miami","Jungle Island, Parrot Jungle Trail, Miami, FL, United States",25.7848342,-80.1744139,Miami,Florida,United States,33132,"Jungle Island is an interactive zoological park in Watson Island, Miami, Florida, United States. It was originally Parrot Jungle and moved from its original suburban Pinecrest to its present location.",Amusement Park,"<img src=""https://wpmapspro.com/wp-content/uploads/2017/01/jungle-island-miami.jpg"">",https://en.wikipedia.org/wiki/Jungle_Island,,,marker,,,yes
,"South Beach, Miami","South Beach, Miami Beach, FL, United States",25.7826123,-80.1340772,Miami Beach,Florida,United States,33139,"South Beach, also nicknamed SoBe, is a neighborhood in the city of Miami Beach, Florida, United States, located due east of Miami city proper between Biscayne Bay and the Atlantic Ocean.",Beaches,"<img src=""https://wpmapspro.com/wp-content/uploads/2017/01/south-beach-miami.jpg"">",https://en.wikipedia.org/wiki/South_Beach,,,marker,,,yes
,Houston Museum,"Houston Museum of Natural Science, Hermann Park Drive, Houston, TX, United States",29.7219932,-95.3898652,Houston,Texas,United States,77030,"The Houston Museum of Natural Science is a science museum located on the northern border of Hermann Park in Houston, Texas, United States of America",Museums,"<img src=""https://res.cloudinary.com/flippercode/image/upload/v1525261586/google-maps-examples/Morian_Hall_of_Paleontology.jpg"">",https://en.wikipedia.org/wiki/Houston_Museum_of_Natural_Science,,,marker,,,yes
,Zion's Light Baptist Church,"1148 E Highway 333, St Joe, AR, United States",36.0002,-92.7633,St Joe,,United States,72675,The United Zion Church is a small Christian denomination with roots in the Mennonite church and German pietism.,Churches,"<img src=""https://wpmapspro.com/wp-content/uploads/2017/01/new-light.jpg"">",https://en.wikipedia.org/wiki/Zion_Baptist_Church,,,marker,,,yes
,London Eye,"London Eye, London, United Kingdom",51.503324,-0.119543,London,,United Kingdom,SE1 7PB,"The London Eye is a giant Ferris wheel on the South Bank of the River Thames in London. Also known as the Millennium Wheel, it has also been called by its owners the British Airways London Eye.",Monuments,"<img src=""https://wpmapspro.com/wp-content/uploads/2017/01/London-Eye.jpg"">",https://en.wikipedia.org/wiki/London_Eye,,,marker,,,yes
,Buckingham Palace,"Buckingham Palace Road, London, United Kingdom",51.4947381,-0.1462873,,,United Kingdom,,Buckingham Palace is the London residence and administrative headquarters of the reigning monarch of the United Kingdom. Located in the City of Westminste.,Forts & Palaces,"<img src=""https://res.cloudinary.com/flippercode/image/upload/v1517050934/Buckingham_Palace_London_lphbes.jpg"">",https://en.wikipedia.org/wiki/Buckingham_Palace,,,marker,,,yes
,Manchester Museum,"Manchester Museum, Oxford Road, Manchester, United Kingdom",53.4663268,-2.2342298,Manchester,England,United Kingdom,M13 9PL,"Manchester Museum is a museum displaying works of archaeology, anthropology and natural history and is owned by the University of Manchester.",Museums,"<img src=""https://wpmapspro.com/wp-content/uploads/2017/01/Manchester_Museum.jpg"">",https://en.wikipedia.org/wiki/Manchester_Museum,,,marker,,,yes
,World Museum,"World Museum, Liverpool, United Kingdom",53.409975,-2.981639,Liverpool,England,United Kingdom,L3 8EN,"World Museum is a large museum in Liverpool, England which has extensive collections covering archaeology, ethnology and the natural and physical sciences. Special attractions include the Natural History Centre and a planetarium.",Museums,"<img src=""https://wpmapspro.com/wp-content/uploads/2017/01/World_Museum_Liverpool.jpg"">",https://en.wikipedia.org/wiki/World_Museum,,,marker,,,yes
,Quinnipiac University,"Quinnipiac University, Mount Carmel Avenue, Hamden, CT, United States",41.4199983,-72.8944694,Hamden,Connecticut,United States,6518,"Quinnipiac University /ˈkwɪnᵻpiːæk/ is a private, nonsectarian, coeducational university located in Hamden, Connecticut at the foot of Sleeping Giant State Park. The nationally prominent Quinnipiac University Polling Institute has its offices there.",Universities,"<img src=""https://wpmapspro.com/wp-content/uploads/2017/01/Quinnipiac_University_Arnol.jpg"">",https://en.wikipedia.org/wiki/Quinnipiac_University,,,marker,,,yes
,Villanova University,"Villanova University, Lancaster Avenue, Villanova, PA, USA",40.0370556,-75.3435797,Radnor Township,Pennsylvania,United States,19085,"Villanova University is a private research university located in Radnor Township, a suburb northwest of Philadelphia, Pennsylvania, within the Archdiocese of Philadelphia in the United States",Universities,"<img src=""https://wpmapspro.com/wp-content/uploads/2017/01/Villanova.jpg"">",https://en.wikipedia.org/wiki/Villanova_University,,,marker,,,yes
,University of Phoenix Stadium,"University of Phoenix Stadium, Cardinals Drive, Glendale, AZ, USA",33.5276247,-112.2625593,Glendale,Arizona,United States,85305,"University of Phoenix Stadium, opened August 1, 2006, is a multipurpose football stadium located in Glendale, Arizona, west of Phoenix",Stadiums,,https://en.wikipedia.org/wiki/University_of_Phoenix_Stadium,,,marker,,yes,
,"Boise State University,","Boise State University, West University Drive, Boise, ID, USA",43.6025572,-116.1996274,Boise,Idaho,United States,83725,"Boise State University is a college in Boise, Idaho. Founded in 1932 by the Episcopal Church, it became an independent junior college in 1934, and has been awarding baccalaureate and master's degrees since 1965.",Universities,,https://en.wikipedia.org/wiki/Boise_State_University,,,marker,,yes,
,University of Washington,"University of Washington, Seattle, WA, United States",47.6553351,-122.3035199,Seattle,Washington,United States,98105,"The University of Washington, commonly referred to as simply Washington, UW, or informally U-Dub, is a public flagship research university based in Seattle, Washington, United States.",Universities,"<img src=""https://res.cloudinary.com/flippercode/image/upload/v1483443477/Seattle_Suzzallo_Library_ekbsiu.jpg"">",https://en.wikipedia.org/wiki/University_of_Washington,,,marker,,,yes
,University of North Carolina,"University of North Carolina at Chapel Hill, Chapel Hill, NC, USA",35.9049122,-79.0469134,Chapel Hill,North Carolina,United States,27514,"The University of North Carolina at Chapel Hill, also known as UNC, or simply Carolina, is a public research university located in Chapel Hill, North Carolina, United States",Universities,"<img src=""https://res.cloudinary.com/flippercode/image/upload/c_scale,w_337/v1483443669/Morehead_Planetarium_afjauj.jpg"">",https://en.wikipedia.org/wiki/University_of_North_Carolina_at_Chapel_Hill,,,marker,,"https://res.cloudinary.com/flippercode/image/upload/c_scale,w_337/v1483443669/Morehead_Planetarium_afjauj.jpg",yes
